                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1059,                 3.0419,                 1.6307,                0.51526,                0.47281,                 0.4872,                0.33575,                 1.0408,                 1.8141,                 1.8165,               0.070093,               0.003323,               0.003323
                      1,                0.97432,                 1.8606,                 1.4746,                0.57199,                 0.5459,                0.55919,                0.37457,                 1.1077,                 1.7688,                 1.8665,               0.039928,              0.0064916,              0.0064916
                      2,                 1.0141,                 1.7361,                 1.5035,                0.50537,                0.49792,                0.49018,                0.29543,                 1.3509,                 1.9714,                 2.1635,              0.0095984,              0.0094952,              0.0094952
                      3,                 1.0651,                 1.7895,                 1.5418,                0.52437,                0.50107,                0.51384,                0.34107,                  1.211,                 1.7664,                 2.0169,              0.0092575,              0.0092575,              0.0092575
                      4,                 1.0484,                 1.7006,                 1.5234,                0.59681,                 0.5623,                0.58822,                0.38196,                 1.2084,                   1.65,                 2.0001,              0.0092575,              0.0092575,              0.0092575
                      5,                 1.0286,                 1.6002,                 1.5116,                0.74567,                 0.6139,                0.70282,                0.46756,                 1.1718,                 1.3928,                 1.9079,                0.00901,                0.00901,                0.00901
                      6,                0.99972,                 1.5058,                 1.4825,                0.75975,                0.63826,                0.73498,                0.50868,                 1.1175,                  1.228,                 1.8534,              0.0087625,              0.0087625,              0.0087625
                      7,                0.98437,                 1.4399,                 1.4686,                0.78668,                0.70351,                0.77693,                0.53347,                 1.1154,                 1.1258,                  1.861,               0.008515,               0.008515,               0.008515
                      8,                0.96428,                 1.3824,                 1.4491,                0.82897,                0.73087,                0.81111,                0.57836,                 1.0302,                 1.0326,                 1.7571,              0.0082675,              0.0082675,              0.0082675
                      9,                0.94958,                 1.3006,                  1.436,                0.79488,                0.69353,                0.77319,                0.54776,                 1.0633,                 1.1066,                 1.7986,                0.00802,                0.00802,                0.00802
                     10,                0.92882,                 1.2531,                 1.4265,                0.82659,                0.72877,                0.82662,                0.60239,                 1.0129,                 0.9802,                 1.7219,              0.0077725,              0.0077725,              0.0077725
                     11,                0.91434,                 1.2115,                  1.409,                0.81379,                0.76775,                0.84102,                0.61335,                 1.0014,                0.93878,                 1.7011,               0.007525,               0.007525,               0.007525
                     12,                0.89558,                 1.1767,                 1.3991,                0.83989,                0.77162,                0.83622,                 0.6161,                0.97193,                0.97304,                 1.6643,              0.0072775,              0.0072775,              0.0072775
                     13,                0.89744,                 1.1397,                 1.3942,                0.83337,                0.74087,                0.80651,                0.58512,                0.98621,                0.99674,                 1.6831,                0.00703,                0.00703,                0.00703
                     14,                0.88156,                 1.0952,                 1.3838,                0.84431,                0.77263,                0.85398,                 0.6265,                0.95794,                0.86805,                 1.6582,              0.0067825,              0.0067825,              0.0067825
                     15,                0.86147,                 1.0618,                 1.3728,                0.86335,                0.78767,                0.86188,                0.63576,                0.97734,                0.85697,                   1.67,               0.006535,               0.006535,               0.006535
                     16,                0.85719,                 1.0365,                 1.3698,                0.85852,                0.79296,                0.87541,                0.64859,                0.94676,                0.83469,                  1.638,              0.0062875,              0.0062875,              0.0062875
                     17,                0.84817,                 1.0133,                 1.3547,                0.89236,                0.79129,                0.86931,                0.64387,                0.97659,                0.80342,                  1.671,                0.00604,                0.00604,                0.00604
                     18,                0.83767,                0.98068,                 1.3436,                0.90159,                0.81227,                0.88677,                0.66599,                0.94617,                0.76868,                 1.6332,              0.0057925,              0.0057925,              0.0057925
                     19,                 0.8227,                0.96143,                 1.3403,                0.90461,                0.82436,                0.89229,                0.67027,                0.94205,                0.73032,                 1.6196,               0.005545,               0.005545,               0.005545
